UsageStartDate,UsageEndDate,UsageType,ResourceId,UsageAmount,CurrencyCode,UnblendedCost
2018-10-20T00:00:00Z,2018-10-20T02:00:00Z,SpotUsage:i3.8xlarge,i-093a90c118fc6b6ed,1.6055560000,USD,1.3541259000
2018-10-20T00:00:00Z,2018-10-20T02:00:00Z,SpotUsage:i3.8xlarge,i-09eb999f44e67c3a3,1.6050000000,USD,1.3536569697
2018-10-20T00:00:00Z,2018-10-20T02:00:00Z,SpotUsage:i3.8xlarge,i-0dde973771fbd6cec,1.2741670000,USD,1.0746324335
2018-10-20T00:00:00Z,2018-10-20T02:00:00Z,SpotUsage:i3.8xlarge,i-0e080d2e65e366275,1.4511110000,USD,1.2238669945
2018-10-20T00:00:00Z,2018-10-20T02:00:00Z,SpotUsage:i3.8xlarge,i-0eca72591ee5f665f,1.7075000000,USD,1.4401054647
2018-10-20T00:00:00Z,2018-10-20T03:00:00Z,SpotUsage:i3.8xlarge,i-012cbb92361eae884,2.4191670000,USD,2.0405782460
2018-10-20T00:00:00Z,2018-10-20T03:00:00Z,SpotUsage:i3.8xlarge,i-0f3599bfecddd3c69,2.1016670000,USD,1.7726072253
2018-10-20T00:00:00Z,2018-10-20T04:00:00Z,SpotUsage:i3.8xlarge,i-026a42fa319688832,3.8302780000,USD,3.2318900250
2018-10-20T00:00:00Z,2018-10-20T13:00:00Z,SpotUsage:i3.8xlarge,i-059c35dcd2f04d626,12.0475000000,USD,10.1700871534
2018-10-20T04:00:00Z,2018-10-20T06:00:00Z,SpotUsage:i3.8xlarge,i-0b1853530669fce0f,1.5402780000,USD,1.3006107517
2018-10-20T04:00:00Z,2018-10-20T07:00:00Z,SpotUsage:i3.8xlarge,i-058f872cab39ab77c,2.3466670000,USD,1.9815256305
2018-10-20T04:00:00Z,2018-10-20T07:00:00Z,SpotUsage:i3.8xlarge,i-0d7f9a4373ce2ec5a,2.5733330000,USD,2.1729224009
